sample,st,serotype,critical_amr_genes,critical_virulence_genes
GCA_009824555.1,ST10,Unknown,['blaTEM'],"['ibeB', 'espX4', 'eaeH', 'espR1', 'espX5', 'iss2', 'espY1', 'ibeC', 'espL1', 'espL4', 'espL3', 'hlyE']"
GCA_040416975.1,ST167,O101:H9,"['blaCTX-M-15', 'blaNDM-5', 'blaTEM-190', 'blaTEMp_C32T']","['rhs/PAAR', 'ybtE', 'ibeB', 'ybtA', 'espX4', 'ybtQ', 'irp2', 'eaeH', 'ybtU', 'espR1', 'espX5', 'ybtP', 'iss2', 'espY1', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'espL1', 'ybtS', 'espR4', 'ybtX', 'espL4', 'ybtT', 'espL3', 'hlyE', 'trat']"
GCA_037047825.1,ST131,O25:H4,['blaCTX-M-27'],"['sitB', 'chuX', 'sitC', 'ybtE', 'kpsD', 'east1', 'ibeB', 'ybtA', 'chuV', 'ybtQ', 'sitA', 'iucC', 'iucD', 'irp2', 'iucA', 'astA', 'chuU', 'ybtU', 'eaeH', 'kpsM', 'ybtP', 'chuY', 'kpsS', 'iss2', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'chuS', 'kpsE', 'ybtS', 'iutA', 'chuW', 'kpsF', 'chuT', 'ybtX', 'ybtT', 'kpsU', 'chuA', 'trat', 'iucB', 'kpsC']"
GCA_040417845.1,ST167,O101:H9,"['blaCTX-M-15', 'blaNDM-5', 'blaTEM-169', 'blaTEMp_C32T']","['rhs/PAAR', 'ybtE', 'ibeB', 'ybtA', 'espX4', 'ybtQ', 'irp2', 'eaeH', 'ybtU', 'espR1', 'espX5', 'ybtP', 'iss2', 'espY1', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'espL1', 'ybtS', 'espR4', 'ybtX', 'espL4', 'ybtT', 'espL3', 'hlyE', 'trat', 'espX1']"
GCA_964206405.1,ST131,O16:H5,['blaCTX-M-15'],"['sitB', 'chuX', 'sitC', 'ybtE', 'kpsD', 'ibeB', 'ybtA', 'chuV', 'ybtQ', 'sitA', 'iucC', 'iucD', 'irp2', 'iucA', 'sitD', 'chuU', 'ybtU', 'kpsM', 'ybtP', 'chuY', 'kpsS', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'chuS', 'kpsE', 'ybtS', 'iutA', 'chuW', 'kpsF', 'chuT', 'ybtX', 'ybtT', 'kpsU', 'chuA', 'trat', 'iucB', 'kpsC']"
GCA_907163705.1,ST131,O25:H4,['blaCTX-M-27'],"['sitB', 'chuX', 'sitC', 'ybtE', 'kpsD', 'ibeB', 'ybtA', 'chuV', 'ybtQ', 'sitA', 'iucC', 'iucD', 'irp2', 'iucA', 'sitD', 'chuU', 'ybtU', 'eaeH', 'kpsM', 'ybtP', 'chuY', 'kpsS', 'iss2', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'chuS', 'kpsE', 'ybtS', 'iutA', 'chuW', 'kpsF', 'chuT', 'ybtX', 'ybtT', 'kpsU', 'chuA', 'trat', 'iucB', 'kpsC']"
GCA_040416595.1,ST167,O101:H9,"['blaCTX-M-15', 'blaNDM-5', 'blaTEM-169', 'blaTEMp_C32T']","['rhs/PAAR', 'ybtE', 'ibeB', 'ybtA', 'ybtQ', 'irp2', 'eaeH', 'ybtU', 'espX5', 'ybtP', 'iss2', 'espY1', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'espL1', 'ybtS', 'espR4', 'ybtX', 'espL4', 'ybtT', 'espL3', 'hlyE', 'trat']"
GCA_037048265.1,ST131,O25:H4,"[""aac(6')-Ib-cr5"", 'blaCTX-M-15', 'blaOXA-1']","['sitB', 'chuX', 'sitC', 'ybtE', 'kpsD', 'ibeB', 'ybtA', 'chuV', 'ybtQ', 'sitA', 'iucC', 'iucD', 'irp2', 'iucA', 'sitD', 'eaeH', 'chuU', 'ybtU', 'ybtP', 'chuY', 'kpsS', 'iss2', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'chuS', 'kpsE', 'ybtS', 'iutA', 'chuW', 'kpsF', 'chuT', 'ybtX', 'ybtT', 'kpsU', 'chuA', 'trat', 'iucB', 'kpsC']"
GCA_964006315.1,ST131,O25:H4,"['blaTEM-1', 'blaTEMp_C32T']","['sitB', 'chuX', 'sitC', 'ybtE', 'kpsD', 'ibeB', 'ybtA', 'chuV', 'ybtQ', 'sitA', 'iucC', 'iucD', 'irp2', 'iucA', 'sitD', 'chuU', 'ybtU', 'eaeH', 'kpsM', 'ybtP', 'hlyA', 'chuY', 'cnf1', 'kpsS', 'iss2', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'chuS', 'kpsE', 'ybtS', 'iutA', 'chuW', 'hlyD', 'kpsF', 'chuT', 'ybtX', 'hlyC', 'ybtT', 'hlyB', 'kpsU', 'chuA', 'trat', 'iucB', 'kpsC']"
GCA_040417455.1,ST167,O101:H9,"['blaCTX-M-15', 'blaNDM-5', 'blaTEM']","['rhs/PAAR', 'ybtE', 'ibeB', 'ybtA', 'espX4', 'ybtQ', 'irp2', 'eaeH', 'ybtU', 'espR1', 'espX5', 'ybtP', 'iss2', 'espY1', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'espL1', 'ybtS', 'espR4', 'ybtX', 'espL4', 'ybtT', 'espL3', 'hlyE', 'trat', 'espX1']"
GCA_964205785.1,ST131,O25:H4,"['blaTEM-1', 'blaTEMp_C32T']","['sitB', 'chuX', 'sitC', 'ybtE', 'kpsD', 'ibeB', 'ybtA', 'chuV', 'ybtQ', 'sitA', 'iucC', 'iucD', 'irp2', 'iucA', 'sitD', 'chuU', 'ybtU', 'eaeH', 'kpsM', 'ybtP', 'hlyA', 'chuY', 'cnf1', 'kpsS', 'iss2', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'chuS', 'kpsE', 'ybtS', 'iutA', 'chuW', 'hlyD', 'kpsF', 'chuT', 'ybtX', 'hlyC', 'ybtT', 'hlyB', 'kpsU', 'chuA', 'trat', 'iucB', 'kpsC']"
GCA_040418385.1,ST167,O101:H5,"[""aac(6')-Ib-cr5"", 'blaCTX-M-15', 'blaNDM-5', 'blaOXA', 'blaTEM-1', 'rmtB1']","['rhs/PAAR', 'ibeB', 'espX4', 'eaeH', 'espR1', 'espX5', 'iss2', 'espY1', 'ibeC', 'espL1', 'espL4', 'espL3', 'hlyE', 'trat']"
GCA_964006325.1,ST131,O25:H4,['blaTEM-1'],"['sitB', 'chuX', 'sitC', 'ybtE', 'kpsD', 'ibeB', 'ybtA', 'chuV', 'ybtQ', 'iucC', 'sitA', 'iucD', 'irp2', 'iucA', 'sitD', 'chuU', 'ybtU', 'eaeH', 'kpsM', 'ybtP', 'chuY', 'kpsS', 'iss2', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'chuS', 'kpsE', 'ybtS', 'iutA', 'chuW', 'kpsF', 'chuT', 'ybtX', 'ybtT', 'kpsU', 'chuA', 'iucB', 'kpsC']"
GCA_037049045.1,ST131,O25:H4,"[""aac(6')-Ib-cr5"", 'blaCTX-M-15', 'blaOXA-1']","['sitB', 'chuX', 'sitC', 'ybtE', 'kpsD', 'ibeB', 'ybtA', 'chuV', 'ybtQ', 'sitA', 'iucC', 'irp2', 'iucA', 'sitD', 'eaeH', 'chuU', 'ybtU', 'kpsM', 'ybtP', 'hlyA', 'chuY', 'cnf1', 'kpsS', 'iss2', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'chuS', 'kpsE', 'ybtS', 'iutA', 'chuW', 'hlyD', 'kpsF', 'chuT', 'ybtX', 'hlyC', 'ybtT', 'hlyB', 'kpsU', 'chuA', 'trat', 'iucB', 'kpsC']"
GCA_040417135.1,ST167,O101:H9,"['blaNDM-5', 'blaTEM-84', 'blaTEMp_C32T']","['rhs/PAAR', 'ybtE', 'ibeB', 'ybtA', 'espX4', 'ybtQ', 'irp2', 'eaeH', 'ybtU', 'espR1', 'ybtP', 'iss2', 'espY1', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'espL1', 'ybtS', 'espR4', 'ybtX', 'espL4', 'ybtT', 'espL3', 'hlyE', 'trat']"
GCA_040417785.1,ST167,O101:H9,"['blaCTX-M-15', 'blaNDM-5', 'blaTEM-33', 'blaTEMp_C32T']","['rhs/PAAR', 'ybtE', 'ibeB', 'ybtA', 'ybtQ', 'irp2', 'eaeH', 'ybtU', 'espR1', 'ybtP', 'iss2', 'espY1', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'espL1', 'ybtS', 'espR4', 'ybtX', 'espL4', 'ybtT', 'espL3', 'hlyE', 'trat', 'espX1']"
GCA_050113115.1,ST167,O101:H9,"['blaCTX-M-15', 'blaNDM-5', 'blaTEM-1', 'blaTEM-190', 'blaTEMp_C32T']","['rhs/PAAR', 'ybtE', 'ibeB', 'ybtA', 'espX4', 'ybtQ', 'irp2', 'eaeH', 'ybtU', 'espR1', 'espX5', 'ybtP', 'iss2', 'espY1', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'espL1', 'ybtS', 'espR4', 'ybtX', 'espL4', 'ybtT', 'espL3', 'hlyE', 'trat', 'espX1']"
GCA_024700835.2,ST10,O101:H9,"['blaCTX-M-15', 'blaTEM-1']","['ibeB', 'espX4', 'eaeH', 'espR1', 'espX5', 'iss2', 'espY1', 'ibeC', 'espL1', 'espR4', 'espL4', 'espL3', 'hlyE', 'espX1']"
GCA_037048945.1,ST131,O16:H5,"['blaCTX-M-15', 'blaTEM-1']","['sitB', 'aatC', 'chuX', 'sitC', 'ybtE', 'kpsD', 'east1', 'ibeB', 'ybtA', 'chuV', 'ybtQ', 'sitA', 'iucC', 'aaiT', 'iucD', 'irp2', 'iucA', 'astA', 'sitD', 'chuU', 'ybtU', 'eaeH', 'kpsM', 'aatA', 'ybtP', 'aatP', 'chuY', 'kpsS', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'chuS', 'kpsE', 'ybtS', 'iutA', 'chuW', 'kpsF', 'chuT', 'ybtX', 'ybtT', 'kpsU', 'chuA', 'trat', 'iucB', 'aatB', 'kpsC']"
GCA_009793715.1,ST10,O29:H10,['blaTEM-57'],"['rhs/PAAR', 'sitB', 'sitC', 'ibeB', 'espX4', 'sitA', 'sitD', 'eaeH', 'espR1', 'espX5', 'espY1', 'ibeC', 'espL1', 'espL4', 'espL3', 'hlyE', 'trat', 'espX1']"
GCA_907164245.1,ST131,O25:H4,['blaCTX-M-27'],"['sitB', 'chuX', 'sitC', 'ybtE', 'kpsD', 'ibeB', 'ybtA', 'chuV', 'ybtQ', 'sitA', 'iucC', 'iucD', 'irp2', 'iucA', 'sitD', 'chuU', 'ybtU', 'eaeH', 'kpsM', 'ybtP', 'chuY', 'kpsS', 'iss2', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'chuS', 'kpsE', 'ybtS', 'iutA', 'chuW', 'kpsF', 'chuT', 'ybtX', 'ybtT', 'kpsU', 'chuA', 'trat', 'iucB', 'kpsC']"
GCA_040417875.1,ST167,O101:H9,"['blaCTX-M-15', 'blaNDM-5', 'blaTEM-33', 'blaTEMp_C32T']","['rhs/PAAR', 'ybtE', 'ibeB', 'ybtA', 'ybtQ', 'irp2', 'eaeH', 'ybtU', 'ybtP', 'iss2', 'espY1', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'espL1', 'ybtS', 'espR4', 'ybtX', 'espL4', 'ybtT', 'espL3', 'hlyE', 'trat', 'espX1']"
GCA_964205855.1,ST131,O25:H4,"['blaTEM-1', 'blaTEMp_C32T']","['sitB', 'chuX', 'sitC', 'ybtE', 'kpsD', 'ibeB', 'ybtA', 'chuV', 'ybtQ', 'sitA', 'iucC', 'iucD', 'irp2', 'iucA', 'sitD', 'chuU', 'ybtU', 'eaeH', 'kpsM', 'ybtP', 'hlyA', 'chuY', 'cnf1', 'kpsS', 'iss2', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'chuS', 'kpsE', 'ybtS', 'iutA', 'chuW', 'hlyD', 'kpsF', 'chuT', 'ybtX', 'hlyC', 'ybtT', 'hlyB', 'kpsU', 'chuA', 'trat', 'iucB', 'kpsC']"
GCA_964206255.1,ST131,O25:H4,"[""aac(6')-Ib-cr5"", 'blaCTX-M-15', 'blaOXA-1']","['sitB', 'chuX', 'sitC', 'ybtE', 'kpsD', 'ibeB', 'ybtA', 'chuV', 'ybtQ', 'sitA', 'iucC', 'irp2', 'iucA', 'sitD', 'eaeH', 'chuU', 'ybtU', 'kpsM', 'ybtP', 'hlyA', 'chuY', 'cnf1', 'kpsS', 'iss2', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'chuS', 'kpsE', 'ybtS', 'chuW', 'hlyD', 'kpsF', 'chuT', 'ybtX', 'hlyC', 'ybtT', 'hlyB', 'kpsU', 'chuA', 'trat', 'iucB', 'kpsC']"
GCA_040415465.1,ST167,O101:H5,"[""aac(6')-Ib-cr5"", 'blaCTX-M-15', 'blaNDM-5', 'blaOXA-1', 'blaTEM-1', 'rmtB1']","['rhs/PAAR', 'ibeB', 'eaeH', 'iss2', 'espY1', 'ibeC', 'espL1', 'espL4', 'espL3', 'hlyE', 'trat']"
GCA_009825065.1,ST10,O9a:H9,['blaTEM-1'],"['rhs/PAAR', 'ibeB', 'espX4', 'eaeH', 'espR1', 'espX5', 'iss2', 'espY1', 'ibeC', 'espL1', 'espR4', 'espL4', 'espL3', 'hlyE', 'espX1']"
GCA_018972245.1,ST131,O25:H4,"[""aac(6')-Ib-cr5"", 'blaCTX-M-15', 'blaOXA-1']","['sitB', 'chuX', 'sitC', 'ybtE', 'kpsD', 'ibeB', 'ybtA', 'chuV', 'ybtQ', 'sitA', 'iucC', 'iucD', 'irp2', 'iucA', 'sitD', 'chuU', 'ybtU', 'eaeH', 'kpsM', 'ybtP', 'chuY', 'kpsS', 'iss2', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'chuS', 'kpsE', 'ybtS', 'iutA', 'chuW', 'kpsF', 'chuT', 'ybtX', 'ybtT', 'kpsU', 'chuA', 'iucB', 'kpsC']"
GCA_009825265.1,ST10,O101:H10,"[""aac(6')-Ib-cr5"", 'blaOXA-1', 'blaTEM-1']","['rhs/PAAR', 'sitB', 'sitC', 'ibeB', 'espX4', 'sitA', 'iucC', 'iucD', 'iucA', 'sitD', 'eaeH', 'espR1', 'espX5', 'espY1', 'ibeC', 'espL1', 'iutA', 'espL4', 'espL3', 'hlyE', 'iucB', 'espX1']"
GCA_040417305.1,ST167,O101:H9,"['blaCTX-M-15', 'blaNDM-5', 'blaTEM', 'blaTEMp_C32T']","['rhs/PAAR', 'ybtE', 'ibeB', 'ybtA', 'espX4', 'ybtQ', 'irp2', 'eaeH', 'ybtU', 'espX5', 'ybtP', 'iss2', 'espY1', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'espL1', 'ybtS', 'espR4', 'ybtX', 'espL4', 'ybtT', 'espL3', 'hlyE', 'trat']"
GCA_040416625.1,ST167,O101:H9,"['blaCTX-M-15', 'blaNDM-5', 'blaTEM-190', 'blaTEMp_C32T']","['rhs/PAAR', 'ybtE', 'ibeB', 'ybtA', 'espX4', 'ybtQ', 'irp2', 'eaeH', 'ybtU', 'espR1', 'espX5', 'ybtP', 'iss2', 'espY1', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'espL1', 'ybtS', 'espR4', 'ybtX', 'espL4', 'ybtT', 'espL3', 'hlyE', 'trat', 'espX1']"
GCA_964206415.1,ST131,O25:H4,"[""aac(6')-Ib-cr5"", 'blaCTX-M-15', 'blaOXA-1']","['chuX', 'ybtE', 'kpsD', 'ibeB', 'ybtA', 'chuV', 'ybtQ', 'iucC', 'iucD', 'irp2', 'iucA', 'chuU', 'ybtU', 'eaeH', 'kpsM', 'ybtP', 'chuY', 'kpsS', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'chuS', 'kpsE', 'ybtS', 'iutA', 'chuW', 'kpsF', 'chuT', 'ybtX', 'ybtT', 'kpsU', 'chuA', 'trat', 'iucB', 'kpsC']"
GCA_964006675.1,ST131,O25:H4,"[""aac(6')-Ib-cr5"", 'blaCTX-M-15', 'blaOXA-1']","['chuX', 'ybtE', 'kpsD', 'ibeB', 'ybtA', 'chuV', 'ybtQ', 'iucC', 'iucD', 'irp2', 'iucA', 'chuU', 'ybtU', 'eaeH', 'kpsM', 'ybtP', 'chuY', 'kpsS', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'chuS', 'kpsE', 'ybtS', 'iutA', 'chuW', 'kpsF', 'chuT', 'ybtX', 'ybtT', 'kpsU', 'chuA', 'trat', 'iucB', 'kpsC']"
GCA_972176215.1,ST131,O25:H4,['blaTEM'],"['sitB', 'chuX', 'sitC', 'ybtE', 'kpsD', 'ibeB', 'ybtA', 'chuV', 'ybtQ', 'sitA', 'iucC', 'iucD', 'irp2', 'iucA', 'sitD', 'chuU', 'ybtU', 'eaeH', 'kpsM', 'ybtP', 'chuY', 'kpsS', 'iss2', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'chuS', 'kpsE', 'ybtS', 'iutA', 'chuW', 'kpsF', 'chuT', 'ybtX', 'ybtT', 'kpsU', 'chuA', 'iucB', 'kpsC']"
GCA_907163485.1,ST167,O101:H21,"[""aac(6')-Ib-cr5"", 'blaCTX-M-15', 'blaOXA-1', 'blaTEM-1', 'blaTEMp_G162T']","['rhs/PAAR', 'ibeB', 'espX4', 'eaeH', 'espR1', 'espX5', 'espY1', 'ibeC', 'espL1', 'espR4', 'espL4', 'espL3', 'hlyE', 'trat', 'espX1']"
GCA_964007015.1,ST167,O101:H9,['blaTEM-1'],"['rhs/PAAR', 'sitB', 'sitC', 'ybtE', 'ibeB', 'ybtA', 'clbO', 'espX4', 'ybtQ', 'sitA', 'iucC', 'iucD', 'irp2', 'iucA', 'sitD', 'eaeH', 'ybtU', 'espR1', 'espX5', 'ybtP', 'iss2', 'espY1', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'espL1', 'ybtS', 'iutA', 'espR4', 'ybtX', 'espL4', 'ybtT', 'espL3', 'hlyE', 'trat', 'iucB', 'espX1']"
GCA_037049305.1,ST131,O25:H4,"[""aac(6')-Ib-cr5"", 'blaCTX-M-15', 'blaOXA-1']","['sitB', 'chuX', 'sitC', 'ybtE', 'kpsD', 'ibeB', 'ybtA', 'chuV', 'ybtQ', 'sitA', 'iucC', 'irp2', 'iucA', 'sitD', 'eaeH', 'chuU', 'ybtU', 'kpsM', 'ybtP', 'hlyA', 'chuY', 'cnf1', 'kpsS', 'iss2', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'chuS', 'kpsE', 'ybtS', 'iutA', 'chuW', 'hlyD', 'kpsF', 'chuT', 'ybtX', 'hlyC', 'ybtT', 'hlyB', 'kpsU', 'chuA', 'trat', 'iucB', 'kpsC']"
GCA_025544715.1,ST10,Unknown,"['blaCTX-M-15', 'blaTEM-1', 'qnrS1']","['ibeB', 'espX4', 'espR1', 'espX5', 'aatA', 'iss2', 'espY1', 'ibeC', 'espL1', 'espL4', 'espL3', 'hlyE', 'espX1']"
GCA_037047365.1,ST10,O12:H4,['qnrB4'],"['rhs/PAAR', 'sitB', 'sitC', 'ybtE', 'kpsD', 'ibeB', 'ybtA', 'espX4', 'ybtQ', 'iucC', 'sitA', 'aaiT', 'iucD', 'iucA', 'sitD', 'eaeH', 'ybtU', 'espR1', 'espX5', 'kpsM', 'ybtP', 'kpsT', 'kpsS', 'iss2', 'espY1', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'espL1', 'kpsE', 'ybtS', 'iutA', 'kpsF', 'ybtX', 'espL4', 'ybtT', 'espL3', 'hlyE', 'kpsU', 'iucB', 'espX1', 'kpsC']"
GCA_907163365.1,ST167,O101:H9,"[""aac(6')-Ib-cr5"", 'blaCTX-M-15', 'blaOXA-1']","['rhs/PAAR', 'sitB', 'sitC', 'ybtE', 'ibeB', 'ybtA', 'espX4', 'ybtQ', 'sitA', 'iucC', 'iucD', 'irp2', 'iucA', 'sitD', 'eaeH', 'ybtU', 'espR1', 'espX5', 'ybtP', 'iss2', 'espY1', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'espL1', 'ybtS', 'iutA', 'espR4', 'ybtX', 'espL4', 'ybtT', 'espL3', 'hlyE', 'trat', 'iucB', 'espX1']"
GCA_040415875.1,ST167,O101:H5,"[""aac(6')-Ib-cr5"", 'blaCTX-M-15', 'blaNDM-5', 'blaOXA-1', 'blaTEM-1', 'rmtB1']","['rhs/PAAR', 'espX4', 'eaeH', 'espR1', 'espX5', 'iss2', 'espY1', 'ibeC', 'espL1', 'espL4', 'espL3', 'hlyE', 'trat', 'espX1']"
GCA_040415915.1,ST167,O101:H5,"['blaCTX-M-15', 'blaNDM-5', 'blaTEM-1']","['rhs/PAAR', 'ibeB', 'espX4', 'eaeH', 'espR1', 'espX5', 'iss2', 'espY1', 'ibeC', 'espL1', 'espL4', 'espL3', 'hlyE', 'trat', 'espX1']"
GCA_040417925.1,ST167,O101:H9,"['blaCTX-M-15', 'blaNDM-5', 'blaTEM-84']","['rhs/PAAR', 'ybtE', 'ibeB', 'ybtA', 'ybtQ', 'irp2', 'eaeH', 'ybtU', 'espR1', 'espX5', 'ybtP', 'iss2', 'espY1', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'espL1', 'ybtS', 'espR4', 'ybtX', 'espL4', 'ybtT', 'espL3', 'hlyE', 'trat', 'espX1']"
GCA_050113075.1,ST167,O101:H5,"[""aac(6')-Ib-cr5"", 'blaCTX-M-15', 'blaNDM-5', 'blaOXA-1', 'blaTEM-1', 'rmtB1']","['rhs/PAAR', 'ibeB', 'espX4', 'eaeH', 'espR1', 'espX5', 'iss2', 'espY1', 'ibeC', 'espL1', 'espL4', 'espL3', 'hlyE', 'trat', 'espX1']"
GCA_037048405.1,ST131,O25:H4,['blaCTX-M-27'],"['sitB', 'chuX', 'sitC', 'ybtE', 'kpsD', 'ibeB', 'ybtA', 'chuV', 'ybtQ', 'sitA', 'iucC', 'iucD', 'irp2', 'iucA', 'sitD', 'chuU', 'ybtU', 'eaeH', 'kpsM', 'ybtP', 'chuY', 'kpsS', 'iss2', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'chuS', 'kpsE', 'ybtS', 'iutA', 'chuW', 'kpsF', 'chuT', 'ybtX', 'ybtT', 'kpsU', 'chuA', 'trat', 'iucB', 'kpsC']"
GCA_907163825.1,ST131,O25:H4,['blaCTX-M-27'],"['sitB', 'chuX', 'sitC', 'ybtE', 'kpsD', 'ibeB', 'ybtA', 'chuV', 'ybtQ', 'sitA', 'iucC', 'iucD', 'irp2', 'iucA', 'sitD', 'chuU', 'ybtU', 'eaeH', 'kpsM', 'ybtP', 'chuY', 'kpsS', 'iss2', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'chuS', 'kpsE', 'ybtS', 'iutA', 'chuW', 'kpsF', 'chuT', 'ybtX', 'ybtT', 'kpsU', 'chuA', 'trat', 'iucB', 'kpsC']"
GCA_040416865.1,ST167,O101:H9,"['blaCTX-M-15', 'blaNDM-5', 'blaTEM-84', 'blaTEMp_C32T']","['rhs/PAAR', 'ybtE', 'ibeB', 'ybtA', 'espX4', 'ybtQ', 'irp2', 'eaeH', 'ybtU', 'espR1', 'espX5', 'ybtP', 'iss2', 'espY1', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'espL1', 'ybtS', 'espR4', 'ybtX', 'espL4', 'ybtT', 'espL3', 'hlyE', 'trat', 'espX1']"
GCA_964006475.1,ST131,O25:H4,"['blaTEM-1', 'blaTEMp_C32T']","['sitB', 'chuX', 'sitC', 'ybtE', 'kpsD', 'ibeB', 'ybtA', 'chuV', 'ybtQ', 'sitA', 'iucC', 'iucD', 'irp2', 'iucA', 'sitD', 'chuU', 'ybtU', 'eaeH', 'kpsM', 'ybtP', 'hlyA', 'chuY', 'cnf1', 'kpsS', 'iss2', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'chuS', 'kpsE', 'ybtS', 'iutA', 'chuW', 'hlyD', 'kpsF', 'chuT', 'ybtX', 'hlyC', 'ybtT', 'hlyB', 'kpsU', 'chuA', 'trat', 'iucB', 'kpsC']"
GCA_964206535.1,ST131,O25:H4,"[""aac(6')-Ib-cr5"", 'blaCTX-M-15', 'blaOXA-1', 'blaTEM-1']","['sitB', 'chuX', 'sitC', 'ybtE', 'kpsD', 'east1', 'ibeB', 'ybtA', 'chuV', 'ybtQ', 'sitA', 'iucC', 'iucD', 'irp2', 'iucA', 'astA', 'sitD', 'chuU', 'ybtU', 'eaeH', 'kpsM', 'ybtP', 'chuY', 'kpsS', 'iss2', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'chuS', 'kpsE', 'ybtS', 'iutA', 'chuW', 'kpsF', 'chuT', 'ybtX', 'ybtT', 'kpsU', 'chuA', 'trat', 'iucB', 'kpsC']"
GCA_050955345.1,ST10,O101:H5,['blaCTX-M-15'],"['rhs/PAAR', 'ybtE', 'ibeB', 'ybtA', 'espX4', 'ybtQ', 'irp2', 'ybtU', 'espR1', 'espX5', 'ybtP', 'espY1', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'espL1', 'ybtS', 'ybtX', 'espL4', 'ybtT', 'espL3', 'hlyE', 'trat', 'espX1']"
GCA_037048485.1,ST131,O25:H4,['blaTEM'],"['sitB', 'chuX', 'sitC', 'ybtE', 'kpsD', 'ibeB', 'ybtA', 'chuV', 'ybtQ', 'sitA', 'iucC', 'iucD', 'irp2', 'iucA', 'sitD', 'chuU', 'ybtU', 'eaeH', 'kpsM', 'ybtP', 'chuY', 'kpsS', 'iss2', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'chuS', 'kpsE', 'ybtS', 'iutA', 'chuW', 'kpsF', 'chuT', 'ybtX', 'ybtT', 'kpsU', 'chuA', 'trat', 'iucB', 'kpsC']"
GCA_040415685.1,ST167,O101:H17,"['blaCTX-M-55', 'blaNDM-5']","['rhs/PAAR', 'ybtE', 'east1', 'ibeB', 'aaiW', 'ybtA', 'espX4', 'ybtQ', 'irp2', 'astA', 'ybtU', 'espR1', 'espX5', 'ybtP', 'iss2', 'espY1', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'espL1', 'ybtS', 'ybtX', 'espL4', 'ybtT', 'espL3', 'hlyE', 'trat', 'espX1']"
GCA_050113195.1,ST167,O101:H9,"['blaCTX-M-15', 'blaNDM-5', 'blaTEM-1', 'blaTEM-190', 'blaTEMp_C32T']","['rhs/PAAR', 'ybtE', 'ibeB', 'ybtA', 'espX4', 'ybtQ', 'irp2', 'eaeH', 'ybtU', 'espR1', 'espX5', 'ybtP', 'iss2', 'espY1', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'espL1', 'ybtS', 'espR4', 'ybtX', 'espL4', 'ybtT', 'espL3', 'hlyE', 'trat', 'espX1']"
GCA_040418905.1,ST167,O101:H5,"[""aac(6')-Ib-cr5"", 'blaCTX-M-15', 'blaNDM-5', 'blaOXA', 'blaTEM-1', 'rmtB1']","['rhs/PAAR', 'ibeB', 'eaeH', 'espR1', 'iss2', 'espY1', 'ibeC', 'espL1', 'espL4', 'espL3', 'hlyE', 'trat']"
